Role,Skills,Salary,Experience,Industry,Year
Data Scientist,"Docker, GenAI, C++",1762323,8,Healthcare,2025
ML Engineer,"Deep Learning, TensorFlow, SQL, Machine Learning, C++",2111329,3,IT,2022
AI Engineer,"Machine Learning, C++, Power BI, Pandas",2111980,4,Education,2024
AI Engineer,"TensorFlow, Machine Learning, Docker, Pandas",610972,7,Education,2024
Data Scientist,"Java, AWS, GenAI",2325441,0,IT,2025
Software Engineer,"C++, TensorFlow, Docker, Deep Learning",593686,6,Finance,2023
Software Engineer,"AWS, Docker",1999846,8,IT,2026
AI Engineer,"Python, Tableau, Machine Learning, Power BI, Java",2159601,2,IT,2023
Software Engineer,"NLP, Tableau, SQL, Power BI",441426,3,Healthcare,2023
Data Scientist,"Deep Learning, Tableau, GenAI, Java, SQL",1031236,9,Education,2025
Cloud Engineer,"Deep Learning, Power BI, TensorFlow, Pandas",609215,1,Finance,2025
Data Analyst,"GenAI, Machine Learning, Docker, Python",1897443,1,Retail,2024
Cloud Engineer,"Docker, Python, Pandas, Java",1597545,4,IT,2023
Data Scientist,"NLP, SQL, GenAI, Python",1312434,6,Retail,2024
ML Engineer,"NLP, Power BI, TensorFlow, SQL",1422865,7,Finance,2024
Data Scientist,"Java, Docker, Power BI, MLOps, Pandas",987640,8,Healthcare,2025
Data Scientist,"NLP, SQL, Machine Learning, Pandas, AWS",1830437,9,Healthcare,2025
AI Engineer,"Power BI, TensorFlow, Machine Learning, Tableau, GenAI",1312454,8,Healthcare,2024
Data Analyst,"Pandas, Deep Learning, TensorFlow, NLP",2171338,2,Education,2024
Data Analyst,"GenAI, Machine Learning, SQL, C++, Docker",315667,0,Retail,2023
AI Engineer,"TensorFlow, Docker, AWS",1437543,3,Education,2023
AI Engineer,"Python, Java",2017109,6,Healthcare,2026
Software Engineer,"Deep Learning, Docker, Power BI, NLP, GenAI",2368892,8,IT,2026
Cloud Engineer,"Pandas, TensorFlow, Java, AWS",1879160,10,Healthcare,2026
ML Engineer,"NLP, SQL",636586,10,IT,2024
Data Scientist,"Docker, Java",1748784,0,Healthcare,2023
Data Scientist,"Python, NLP",2412179,7,Retail,2024
Software Engineer,"Power BI, SQL, Pandas, MLOps, Python",2181492,0,Education,2026
Software Engineer,"TensorFlow, Tableau, GenAI",1201504,5,Healthcare,2025
AI Engineer,"Machine Learning, Python",1138702,6,Finance,2024
Data Analyst,"NLP, Power BI",1343649,7,Retail,2023
Data Analyst,"NLP, MLOps, Machine Learning, Pandas, Docker",1194564,9,Education,2026
Cybersecurity Analyst,"AWS, SQL",1808485,10,Education,2023
Cloud Engineer,"SQL, GenAI",780160,1,Healthcare,2022
Software Engineer,"Machine Learning, Python, Docker, C++, NLP",2122538,7,Education,2025
Software Engineer,"TensorFlow, Deep Learning, Power BI, NLP, Python",1861337,8,IT,2022
Cybersecurity Analyst,"Java, GenAI, Power BI",377980,0,Education,2024
Data Scientist,"Pandas, GenAI, C++, NLP, Machine Learning",2099332,2,Finance,2025
Cloud Engineer,"TensorFlow, Pandas, Machine Learning, Power BI, AWS",2049041,9,Education,2022
Cybersecurity Analyst,"GenAI, MLOps, C++",1853039,4,IT,2025
Software Engineer,"C++, Tableau, TensorFlow",1534904,10,Finance,2026
Cybersecurity Analyst,"Docker, NLP, Tableau, GenAI",1766022,0,Healthcare,2024
Data Scientist,"TensorFlow, SQL, Deep Learning, Docker",1378932,0,Education,2022
Software Engineer,"TensorFlow, Java, GenAI, MLOps",1701102,8,Healthcare,2023
Software Engineer,"Docker, Deep Learning",937916,8,Healthcare,2023
Data Scientist,"Tableau, Docker, GenAI",2227732,6,Education,2023
Cloud Engineer,"Python, TensorFlow, Power BI",1462181,1,Finance,2025
AI Engineer,"C++, AWS",2401665,9,Education,2026
AI Engineer,"C++, AWS, Tableau, Power BI, Python",2471404,0,Healthcare,2022
Cybersecurity Analyst,"MLOps, SQL, Deep Learning, GenAI",1034642,6,Education,2026
Cloud Engineer,"TensorFlow, SQL, Deep Learning, MLOps",320233,3,IT,2022
Software Engineer,"C++, SQL, TensorFlow, Docker, NLP",2432888,8,Education,2026
Data Scientist,"NLP, Docker, Python, TensorFlow",1492230,2,Healthcare,2023
Cybersecurity Analyst,"Pandas, Docker",1076476,9,Education,2026
ML Engineer,"GenAI, Python, Java, Pandas, NLP",931145,7,Finance,2023
Data Scientist,"Machine Learning, Deep Learning, Docker, Pandas",304245,7,Healthcare,2022
Data Scientist,"NLP, Power BI, TensorFlow",1736378,9,IT,2024
Data Analyst,"TensorFlow, Machine Learning, C++",1262269,5,IT,2026
Cloud Engineer,"MLOps, Power BI, NLP, Java, Python",1056246,2,Retail,2023
Data Scientist,"Tableau, AWS, Pandas, Python",1855276,6,Finance,2025
Data Analyst,"Java, Machine Learning, GenAI, TensorFlow",927331,10,Finance,2023
Data Scientist,"Deep Learning, Tableau, Java",940044,8,Finance,2023
Cybersecurity Analyst,"NLP, Tableau, Docker, SQL",1359276,2,IT,2025
Cybersecurity Analyst,"Deep Learning, AWS",628132,4,IT,2024
AI Engineer,"SQL, Machine Learning, Tableau",1534947,6,Education,2025
Data Analyst,"GenAI, Java, Power BI, TensorFlow, NLP",375317,6,Healthcare,2023
Cloud Engineer,"MLOps, Python, Deep Learning",697313,1,Education,2024
Cloud Engineer,"Power BI, GenAI, AWS",1287737,0,Retail,2022
ML Engineer,"Pandas, Docker",2027423,10,Education,2024
Cloud Engineer,"C++, NLP, Tableau, GenAI",746454,9,IT,2022
Cloud Engineer,"Docker, Deep Learning",1818052,9,Education,2023
ML Engineer,"C++, Pandas, Docker, MLOps",859751,8,Finance,2023
Cloud Engineer,"Tableau, C++, MLOps",350011,2,Healthcare,2022
ML Engineer,"NLP, SQL, Docker",1515632,2,IT,2022
Cloud Engineer,"GenAI, Java",1027347,1,Finance,2024
Cloud Engineer,"Docker, Deep Learning",1736765,7,Education,2023
Software Engineer,"Machine Learning, Java, AWS, Deep Learning, Pandas",1980356,1,Education,2024
Cloud Engineer,"Tableau, NLP, SQL, Java, Machine Learning",466629,4,Finance,2024
Software Engineer,"NLP, Machine Learning, Tableau, Docker, Pandas",1994670,4,Education,2025
Software Engineer,"MLOps, TensorFlow, GenAI",2464662,7,IT,2026
Data Scientist,"Java, AWS",1335614,9,Finance,2023
Data Scientist,"Power BI, C++, Machine Learning",2375253,3,Finance,2023
Cybersecurity Analyst,"MLOps, SQL",1078134,1,IT,2024
Software Engineer,"Deep Learning, Power BI, SQL, Pandas, MLOps",1444677,1,Retail,2025
Cybersecurity Analyst,"GenAI, MLOps, SQL, TensorFlow",2400338,5,Education,2022
ML Engineer,"Pandas, Tableau, Python, Java",1742265,9,IT,2026
Cloud Engineer,"C++, Deep Learning, GenAI",1624784,4,Retail,2024
ML Engineer,"MLOps, Machine Learning",1666591,3,Healthcare,2022
ML Engineer,"Docker, Tableau, Deep Learning, Python",1369590,10,Finance,2026
Cybersecurity Analyst,"AWS, Power BI, C++, Machine Learning, Tableau",783069,7,Healthcare,2026
Data Scientist,"Machine Learning, Docker, Java, Python, Deep Learning",2201019,3,Finance,2023
Cybersecurity Analyst,"NLP, Pandas, MLOps, Tableau",2478821,8,Retail,2022
Cloud Engineer,"SQL, Python, Tableau",2466178,6,Education,2026
Cloud Engineer,"Power BI, AWS, Machine Learning, Python, MLOps",1678643,3,Finance,2026
Cybersecurity Analyst,"C++, TensorFlow, Machine Learning, GenAI",881784,9,Education,2026
Data Scientist,"Docker, TensorFlow, Python",1603190,7,Finance,2022
Data Analyst,"GenAI, AWS, Machine Learning, Python",866892,9,Healthcare,2026
Cybersecurity Analyst,"Tableau, TensorFlow",1107161,6,Retail,2024
Data Scientist,"Deep Learning, Power BI",2076447,2,Education,2022
Cloud Engineer,"Pandas, SQL, Java",1389421,3,Education,2024
Cybersecurity Analyst,"Python, Java, Power BI",602536,0,Retail,2025
Data Scientist,"SQL, Machine Learning, GenAI, Deep Learning, Docker",2069150,4,Education,2022
Cloud Engineer,"Tableau, Power BI",1497963,3,Retail,2022
Data Scientist,"Power BI, SQL, C++",2250439,5,Retail,2024
Data Analyst,"Machine Learning, TensorFlow, C++, Pandas",1754381,2,Retail,2023
Data Analyst,"Power BI, Docker",505070,5,Education,2023
Data Scientist,"Docker, Java",511941,5,Education,2024
Data Analyst,"Java, Python",467928,2,IT,2024
Data Scientist,"AWS, NLP, GenAI, MLOps, Python",2022908,3,Retail,2026
Cybersecurity Analyst,"MLOps, Power BI, AWS, Machine Learning, Pandas",2386514,2,Retail,2025
Software Engineer,"AWS, SQL",2288240,9,Healthcare,2024
Data Scientist,"AWS, TensorFlow",2469387,6,Education,2026
Cybersecurity Analyst,"Docker, Java, Tableau, C++, Python",2096007,3,Finance,2023
AI Engineer,"TensorFlow, Deep Learning, Java, NLP",1134775,4,Retail,2023
AI Engineer,"SQL, GenAI, Python, Power BI",552593,1,IT,2026
AI Engineer,"C++, NLP, Java, Tableau",2395153,8,Education,2023
Cloud Engineer,"C++, AWS, SQL, Docker, TensorFlow",1334424,8,Finance,2024
Cybersecurity Analyst,"MLOps, C++, Java",1765336,2,IT,2022
ML Engineer,"C++, Power BI, Java",1199557,9,IT,2025
Cybersecurity Analyst,"Java, Deep Learning, TensorFlow, GenAI",2154076,7,IT,2023
Cloud Engineer,"C++, Docker, Java, AWS, Machine Learning",1486955,3,Education,2022
Cloud Engineer,"Deep Learning, Python, C++, Tableau, Docker",780454,2,Healthcare,2022
Cybersecurity Analyst,"Tableau, GenAI, Java",2307220,10,Healthcare,2025
Cloud Engineer,"NLP, Power BI, AWS, TensorFlow, MLOps",2171738,0,IT,2025
ML Engineer,"Java, TensorFlow",1275931,10,IT,2025
Cloud Engineer,"Machine Learning, GenAI, SQL, Python",1320865,10,Education,2025
Data Analyst,"Java, C++, Pandas",865109,9,Retail,2022
ML Engineer,"MLOps, Machine Learning, Deep Learning, AWS, Tableau",1629701,6,Education,2023
Data Analyst,"GenAI, Tableau, Deep Learning, SQL",1058832,1,Healthcare,2025
Software Engineer,"Deep Learning, Java, Python, Machine Learning, MLOps",2402903,8,IT,2023
ML Engineer,"AWS, Power BI, Deep Learning, MLOps",772200,3,Finance,2024
ML Engineer,"AWS, MLOps, Power BI, Docker, C++",1198739,2,Finance,2026
Data Scientist,"Java, Pandas, Power BI",1751968,10,IT,2023
Software Engineer,"C++, TensorFlow, SQL, Machine Learning, Power BI",1575545,4,Finance,2023
Cloud Engineer,"Power BI, Tableau",1338939,6,Education,2025
Cybersecurity Analyst,"Java, Machine Learning, Power BI, TensorFlow",648022,8,Finance,2024
Cloud Engineer,"Python, Pandas, Tableau",2017754,0,IT,2022
Cloud Engineer,"Java, MLOps",784402,3,Finance,2026
Software Engineer,"Pandas, Python, AWS",2111839,5,Education,2026
ML Engineer,"Docker, Java, Machine Learning, TensorFlow",1579734,0,Healthcare,2025
Data Scientist,"Java, AWS, MLOps, GenAI",1018220,9,Education,2025
Data Analyst,"Machine Learning, Docker, Deep Learning, SQL, Java",312076,9,Healthcare,2023
Cloud Engineer,"MLOps, Tableau, Python, Power BI, Java",2184814,6,Finance,2024
Software Engineer,"Python, Tableau, TensorFlow, GenAI, MLOps",1113801,7,IT,2026
Software Engineer,"GenAI, Java",1515022,8,Retail,2025
Data Analyst,"C++, GenAI",1555694,8,IT,2024
Data Analyst,"AWS, Deep Learning",2247697,6,Healthcare,2024
Data Scientist,"MLOps, Machine Learning, Java, TensorFlow, SQL",705135,6,Education,2025
Cloud Engineer,"Power BI, AWS, Machine Learning, NLP",965912,5,Education,2025
ML Engineer,"AWS, Deep Learning",768567,9,Education,2025
AI Engineer,"Tableau, Python",312307,3,IT,2025
Cybersecurity Analyst,"Power BI, Pandas, Machine Learning",1795721,9,Healthcare,2024
Cloud Engineer,"Machine Learning, Power BI, SQL",2018192,3,IT,2026
Cybersecurity Analyst,"Power BI, SQL, NLP, Deep Learning, C++",1684854,5,Finance,2022
Data Scientist,"AWS, Docker, NLP, Power BI",1771953,7,Retail,2022
ML Engineer,"SQL, Tableau, AWS",2407979,8,Finance,2025
Cybersecurity Analyst,"Tableau, Deep Learning",1332313,8,IT,2022
Data Analyst,"Deep Learning, AWS, Pandas, MLOps, Java",1165467,4,Education,2024
Cloud Engineer,"C++, SQL, Docker, NLP",1384939,3,Healthcare,2024
Software Engineer,"SQL, GenAI, TensorFlow, NLP, Tableau",869691,6,IT,2026
Software Engineer,"MLOps, NLP",613908,5,Healthcare,2022
Cloud Engineer,"Python, Pandas, TensorFlow",1384368,2,Finance,2022
ML Engineer,"MLOps, AWS",1765372,6,Healthcare,2022
Data Analyst,"NLP, Java, Tableau, SQL",2055693,9,Finance,2023
Data Scientist,"MLOps, Python",402442,3,Retail,2023
Cloud Engineer,"Tableau, Deep Learning, MLOps, Docker",1551500,0,Education,2024
Cloud Engineer,"Docker, Tableau, MLOps",305064,0,Healthcare,2026
Data Scientist,"Pandas, SQL, NLP, Deep Learning, GenAI",1308084,7,Finance,2022
AI Engineer,"MLOps, Docker, GenAI",1019699,5,IT,2026
AI Engineer,"Power BI, MLOps, Python",1386957,9,IT,2023
Data Analyst,"NLP, C++, SQL",1068849,3,Finance,2025
Data Analyst,"Power BI, Machine Learning, Pandas",350716,0,Education,2023
Data Scientist,"C++, GenAI, Power BI, Tableau",1071026,2,Healthcare,2024
Data Scientist,"MLOps, Java, NLP, GenAI",1014010,7,Healthcare,2022
ML Engineer,"AWS, Machine Learning",1634055,7,Finance,2023
Software Engineer,"TensorFlow, AWS, Docker, Java",2185728,5,IT,2023
ML Engineer,"Python, TensorFlow, Tableau",1803358,9,Healthcare,2024
AI Engineer,"C++, Tableau",2265709,7,Finance,2022
Data Scientist,"NLP, Pandas",2285004,1,Healthcare,2025
Data Analyst,"Tableau, Java, Machine Learning, SQL",1887573,2,Education,2025
Software Engineer,"Deep Learning, Tableau, C++, Power BI",829706,4,Education,2025
Cybersecurity Analyst,"C++, AWS, Tableau",2402773,1,Education,2022
AI Engineer,"Java, TensorFlow, C++, Docker",1378610,0,IT,2022
Cloud Engineer,"AWS, Power BI, Pandas, Deep Learning",1259986,10,IT,2025
AI Engineer,"GenAI, Deep Learning, C++",800318,8,Finance,2025
Cybersecurity Analyst,"Python, Tableau, NLP, Pandas",2000619,9,Healthcare,2025
Cloud Engineer,"Java, SQL, AWS, Docker",1383082,9,IT,2022
Data Analyst,"AWS, Pandas, Power BI",1571729,7,Finance,2024
Cloud Engineer,"C++, Power BI, MLOps, Pandas, Deep Learning",2330355,3,Finance,2024
Cloud Engineer,"C++, Python, Docker, AWS, MLOps",1089947,8,Finance,2023
Cybersecurity Analyst,"C++, GenAI, AWS",719151,7,Finance,2025
ML Engineer,"Tableau, GenAI, MLOps, Deep Learning, C++",2122842,3,Retail,2023
Data Analyst,"Docker, Pandas, AWS, Machine Learning, NLP",2290049,6,Finance,2022
Data Analyst,"Python, NLP, GenAI, C++, MLOps",1102784,4,Finance,2024
AI Engineer,"Power BI, MLOps, Deep Learning, AWS",1885561,0,IT,2025
Cybersecurity Analyst,"SQL, GenAI, Docker",1246449,5,Education,2026
Software Engineer,"TensorFlow, C++",2398524,2,IT,2026
Cloud Engineer,"Docker, Pandas",1094735,7,Education,2022
AI Engineer,"SQL, NLP, Power BI",304478,4,IT,2024
ML Engineer,"NLP, Docker, Python",1643865,6,Retail,2026
AI Engineer,"GenAI, MLOps, Deep Learning, TensorFlow, NLP",599033,4,Retail,2023
Software Engineer,"SQL, Python, Machine Learning, Tableau",2097576,0,Healthcare,2023
Software Engineer,"Power BI, SQL, Java",1313673,7,Education,2022
Software Engineer,"Tableau, Python, C++, Deep Learning, Docker",1869361,7,IT,2026
Data Scientist,"C++, Machine Learning, Deep Learning, NLP, AWS",1883803,5,Finance,2025
Software Engineer,"Java, NLP, Python, MLOps, Deep Learning",1098476,9,Finance,2022
Cloud Engineer,"GenAI, Tableau",1164340,4,Finance,2026
AI Engineer,"Java, SQL, Tableau, TensorFlow, Machine Learning",1676069,2,Finance,2023
Software Engineer,"Docker, Deep Learning",605390,10,Retail,2026
AI Engineer,"C++, Machine Learning, MLOps, Tableau",2178977,10,Healthcare,2024
Cybersecurity Analyst,"SQL, C++, TensorFlow",1575192,2,Retail,2023
Software Engineer,"C++, Java",2196204,8,IT,2024
Software Engineer,"Python, MLOps, NLP, Java, Tableau",617870,1,Retail,2025
ML Engineer,"Tableau, C++, Machine Learning, Python",387267,9,Finance,2025
Data Analyst,"Tableau, AWS, Python",2439969,1,Education,2026
Data Scientist,"Python, AWS, MLOps, TensorFlow",2014472,8,Education,2024
Data Analyst,"GenAI, Deep Learning, Java, Docker, TensorFlow",1597807,4,Retail,2026
Cybersecurity Analyst,"MLOps, Tableau, Python, TensorFlow, Java",1633828,3,Education,2023
AI Engineer,"Python, Pandas",1346870,10,Finance,2023
AI Engineer,"Power BI, Python, NLP, Docker",1043593,7,Healthcare,2025
AI Engineer,"Java, AWS, SQL, Machine Learning, MLOps",1105691,8,Finance,2024
Data Scientist,"AWS, NLP, Docker",1386729,2,Finance,2022
AI Engineer,"Python, TensorFlow",1766416,8,Retail,2022
Cloud Engineer,"Python, GenAI, Deep Learning",683186,8,IT,2022
Software Engineer,"NLP, Java, Docker, GenAI",1553626,3,Education,2024
Software Engineer,"Deep Learning, Python",1249533,4,Education,2023
Data Analyst,"C++, GenAI, AWS, Machine Learning",2462517,5,Healthcare,2025
Data Analyst,"SQL, Machine Learning",1439303,8,Healthcare,2024
Data Scientist,"Python, MLOps, Pandas, Deep Learning, Docker",2035885,2,Finance,2026
Software Engineer,"C++, GenAI, Pandas, SQL",2298602,0,Education,2024
Data Analyst,"TensorFlow, Tableau, Deep Learning, SQL",1633580,6,IT,2025
Cybersecurity Analyst,"C++, Deep Learning, Pandas, Docker, SQL",480427,3,Healthcare,2026
Cybersecurity Analyst,"TensorFlow, Power BI, SQL, MLOps, Machine Learning",1300188,5,Education,2026
AI Engineer,"Pandas, Python, NLP, GenAI, Java",575278,2,Healthcare,2025
Data Scientist,"Pandas, AWS, MLOps, SQL, Tableau",1781875,1,Healthcare,2023
ML Engineer,"TensorFlow, SQL, GenAI, Deep Learning",1891395,2,IT,2022
Cybersecurity Analyst,"NLP, Docker, TensorFlow, SQL, MLOps",1168799,2,IT,2026
